N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
009C;FUNDACIÓN BENÉFICO DOCENTE GIL VIDAL DE LA COMUNIDAD VALENCIANA;;FUNDACIÓN GIL VIDAL;;;;Calle de San Antonio, 56;;12;VILA-REAL;CASTELLÓN;12540;;;G1202307;1942/08/25 00:00:00.000;;;12;;;Tiene por objeto el facilitar la realización de las actividades de la Asociación de Hijas de María del Rosario. Asimismo, conforme a las disposiciones del Fundador, podrán guardarse en el edificio de la Fundaciónlos objetos pertenecientes a la Asociación de Hijas de María del Rosario y celebrar en él, dicha Asociación, sus juntas y reuniones.
009V;FUNDACIÓN ADOLFO GIL Y  MORTE;;;;;;Facultad de Medicina, Avda. Blasco Ibáñez, 17;;46;VALÈNCIA;VALÈNCIA;46010;;;;1945/08/30 00:00:00.000;;;20;;;Adquisición de material científico y libros, así como demostraciones experimentales.
010C;FUNDACIÓN AMALIA MESEGUER DE LA COMUNIDAD VALENCIANA;;;;;;Iglesia Parroquial de Nuestra Señora de la Asunción. Plaza Parroquial, s/n.;;12;VINARÒS;CASTELLÓN;12500;;;;1959/07/16 00:00:00.000;;2021/01/21 00:00:00.000;41;;;El art. 6 de los Estatutos, establece como fin único la promoción, construcción, puesta en marcha y apoyo al desarrollo de sus actividades, de un colegio de carácter y gestión religiosa, entendida en su más amplia acepción, para impartir en régimen privado o concertado enseñanza primaria y secundaria, social y asistencial en el entorno al que la misma extienda su ámbito de actuación.
010V;FUNDACIÓ DE LA COMUNITAT VALENCIANA DOCTOR IGNACIO TARAZONA BLANCH;;;;;;Observatori Astronòmic de la Universitat de València. Edifici Instituts d'Investigació, primera planta. Parc Científic. Carrer Catedràtic José Beltrán, núm. 2;;46;PATERNA;VALÈNCIA;46980;96 386 41 00;;;1945/09/29 00:00:00.000;;;42;;;1.-Article 4, les finalitats de la fundació són: a).- Creació i concessió de beques als estudiants de la Universitat de Valéncia, perqué continuen o eixamplet els seus estudis, tant dins com fora de l’ambit de la Universitat. B).- Subvencionar el desenvolupament de la docéncia conduent a l’obtenció de diplomes o quasevil altra categoria de títol propi i reconegut per la Universitat. C).- Subvencionar i fomentar làctivitat, el desenvolupament i el funcionament de L’Observatori Astronómic de la Universitat de Valéncia. 2.- Les finalitats de la fundació poden ser acomplertes bé directament per la Fundación o en col-laboración amb altres persones físiques o jurídiques, executan-se, amb el carácter de prioritari el que, en funció de la realitat social, acorde el patronato.
013A;FUNDACIÓN DE LA COMUNITAT VALENCIANA PATRICIO ZAMIT GALLUD;;FUNDACIÓN PATRICIO ZAMMIT GALLUD;;;fundacionpzg@gmail.com;Pl. Plaza Constitución, nº 1 Parroquia Inmaculada ó Apartado de Correos nº 616;;3;TORREVIEJA;ALICANTE;3181;618970510 965712132;;G03161320;1960/07/05 00:00:00.000;;;41;;;Son Fines de la Fundación: La ayuda docente y en sus estudios a los niños jóvenes pobres del municipio de Torrevieja, abarcando la enseñanza primaria, secundaria y superior en centros públicos del Estado o en otros centros de caridad que atiendan la promoción y desarrollo de las personas.
013C;FUNDACIÓN CASA DE ENSEÑANZA DE NIÑAS;;;;;administracion@obsegorbecastellon.org     economo@obsegorbecastellon.org;Plaza Mayor, s/n (Parroquia de Santa Maria);;12;CASTELLÓN;CASTELLÓN;12001;964-72-33-33 o al 610 493 668;;;1922/04/29 00:00:00.000;;2016/04/15 00:00:00.000;41;;;Aprendizaje gratuito de las doctrinas cristianas, coser y otras labores para niñas pobres.
013V;FUNDACIÓN CRISTÓBAL HERNÁNDEZ LLORENS;;;;;alcaldia@alcasser.es;Calle de Hernández Llorens, 4;;46;ALCÀSSER;VALÈNCIA;46290;662651236;;;1947/10/25 00:00:00.000;;;41;;;Enseñanza cristiana de niños pobres de Alcácer y primeras letras.
014A;FUNDACIÓN PATRONATO LOCAL DE ENSEÑANZA MEDIA Y PROFESIONAL;;;;;;Carrer les Eres, 48 - Ayuntamiento;;3;IBI;ALICANTE;3440;555 24 50/55 24;;;1963/11/27 00:00:00.000;;2013/10/14 00:00:00.000;41;;;Atender y administrar las diferentes manifestaciones culturales y pedagógicas locales de carácter particular acordando  la creación de una organización con la finalidad cultural y pedagógica . Están detalladas en el art. 31 de los Estatutos (fundamentalmente proporcionar enseñanza media y profesional).
015A;FUNDACIÓN DE LA COMUNITAT VALENCIANA DOÑA BERNABEA VALERO GARCÍA;;;;;info@contafis.com;Dña. Mª Virtudes Úbeda Martínez - Plaza de las Malvas, nº 12 bajo derecha;Calle Juan Chaumel, nº 1, 4º C;3;VILLENA;ALICANTE;3400;96 581 72 05 671 68 94 97;;G-03602455;1964/01/03 00:00:00.000;;;41;;;Crear una beca o becas para ayuda de estudios, tanto para cursar estudios civiles como eclesiásticos, ayudas para libros, preparación en el extranjero cualesquiera análogas. Teniendo en cuenta que el origen de estas becas era fomentar el estudio de la enseñanza secundaria, que en el momento de la constitución de la Fundación empezaba a los 11 años, se podrán otorgar las ayudas a alumnos mayores de esa edad. Dichas ayudas se prestarán cuando la capacidad del alumno y una notoria falta de medios económicos así lo aconsejasen para evitar que esa capacidad no se aproveche al máximo. Estos extremos serán decididos por el Patronato, que a tal fin, convocará concurso de méritos publicándolo en el Tablón de anuncios del Ayuntamiento de Villena y en los medios locales de comunicación que existieren en la misma (radio, periódicos, etc.).
016A;FUNDACIÓN ELENA SANTONJA COSTA;;;;;fundaelenasantonja@hotmail.com;Calle de Cardenal Payá, 31;;3;BENEIXAMA;ALICANTE;3460;965822108;;G12035036;1965/06/15 00:00:00.000;;;41;;;(art. 6) La Fundación tiene por objeto la asistencia social, de manera especial, la atención a los más desamparados de la sociedad. Corresponde al patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
016C;FUNDACIÓN FLORS FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;;;fundacionflors@fundacionflors.com;Calle Ermita, 263;;12;VILA-REAL;CASTELLÓN;12540;964 520 394;964526889;G12035036;1970/07/28 00:00:00.000;;;41;;;La Fundación Flors persigue fines educativos y de asistencia social, teniendo por objeto dar educación, de acuerdo con la orientación de la doctrina social cristiana-católica, a los niños pobres o faltos de recursos económicos.
017A;FUNDACIÓN JOSÉ VALOR AMORÓS;;;;;;Canalejas, nº 7;;3;BANYERES DE MARIOLA;ALICANTE;3450;;;;1969/10/24 00:00:00.000;;;30;0;0;Según el testamento fomentar las actividades culturales en la villa de Bañeres, alojar a personalidades que visiten la población y, especialmente, el pago de estudios de cualquier clase, mediante la constitución de becas u otro procedimiento, a estudiantes nacidos en Bañeres o de padre o madre nacidos en dicha villa, y que, a juicio del Patronato no tuvieren medios suficientes, la orden de clasificación ratifica los fines pero autoriza la exclusión de uno de los fines, es decir, el alojamiento de las personalidades que visiten Bañeres, no obstante en la parte dispositiva de la misma en su apartado 3º, dispone que el Patronato iniciará el cumplimiento  de los fines fundacionales, en la medida en que lo permitan los bienes, debiendo comunicar al Protectorado el momento en que, por consolidación del usufructo con la nuda propiedad, para que pueda cumplir con la totalidad de los fines
018A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA NUESTRA SEÑORA DE LA PIEDAD;;;;;antonioecheto@salesianos.edu;c/ Sagunto, 192;;46;VALÈNCIA;VALÈNCIA;46009;963653296;;G03099843;1908/04/11 00:00:00.000;;;41;;;(art. 2) La Fundación tiene carácter benéfico y perseguirá los siguientes fines: 1º La instrucción y educación integral de niños y jóvenes de ambos sexos, necesitados o en peligro, dentro de la legislación vigente en materia de educación y las orientaciones de la Iglesia Católica. 2º La formación cristiana y religiosa de los mismos, preferentemente a través de los servicios parroquiales. 3º La educación en el tiempo libre de dichos destinatarios y de sus familiares a través de cualquier tipo de actividades, y entre ellas, convivencias, excursiones y turismo popular. 4º La atención y la formación permanente de sacerdotes y otras personas dedicadas al campo de la educación.
018C;FUNDACIÓ HUGUET DE LA COMUNITAT VALENCIANA;;;;;;Plaça de l'Hort dels Corders, núm. 4-2n - Edifici el Menador;Enmig, 128-2n12001 Castellón;12;CASTELLÓN;CASTELLÓN;12001;964 23 75 18;;;1976/03/10 00:00:00.000;;;41;;;(art. 6) La Fundació té per objectiu protegir l'ideal valencianista, en el seu aspecte cultural, científic, literari i artístic, en aquest objectiu ocuparà un lloc preeminent l'ensenyament tècnic de la llengua i la literatura valenciana, la poesia, el teatre, la música i l'excursionisme.
018V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA TERESA DE ALBORNOZ Y LEÓN;;;;;;Plaza de la Pau, s/n (Guarderia Infantil);;46;VALLADA;VALÈNCIA;46691;;;;1934/01/27 00:00:00.000;;;41;;;La Fundación tiene por objeto la educación, enseñanza y formación de  niños y jóvenes de ambos sexos.
019A;FUNDACIÓN ABARGUES DE LA COMUNIDAD VALENCIANA;;;;;info@fundacionabargues.org;Plaza del Portal, 4;;3;BENISSA;ALICANTE;3720;965730267;573 02 67 / 583 43 96;G03085354;1974/12/14 00:00:00.000;;;30;;;La Fundación llene por objeto con carácter enunciativo y no exhaustivo los fines que se señalan a continuación: . El sostenimiento del establecimiento cultural denominado COLEGIO LA PURISIMA, sito en Benissa, provincia de Alicante, Plaza del Portal número 4, lugar donde así mismo tiene so domicilio social. Dicho inmueble fue edificado por la Fundadora, y en él reciben educación gratuita y enseñanza cristiana, el mayor número posible de niños y niñas residentes en Benissa.. Se velará por la promoción directa o en colaboración con la Parroquia de la . Purísima Xiqueta y San Pedro Apóstol de Benissa, la cultura, educación y formación cristiana de la población del municipio.. Asimismo se promocionarán y realizarán proyectos de cooperación al desarrollo con . paises empobrecidos y con población con riesgo de exclusión social de nuestro enlomo, . prestando especial atención al sector educativo en ambos casos. . Acompañará y reforzará a esta labor la educación y la sensibilización al desarrollo. En . todo caso se incorporará transversalmente la igualdad de oportunidades entre hombres y . mujeres, así como el fomento de prácticas amigables con el ambiente.
019C;FUNDACIÓN CAYAC MAESTRAZGO FAMILIA, BESALDUCH BALLESTER;;;;;;D. José María Vidal Beltrán, Secretario  Avda. Blasco Ibáñez, 153 pta. 95;Calle de San Mateo, 23 - 12578 Cervera del Maestre;12;VALÈNCIA;VALÈNCIA;46022;;;G-12331625;1989/08/24 00:00:00.000;;;13;;;La asistencia a personas de edad avanzada, a través de la promoción, adquisición o construcción de residencias para ancianos, así como la atención material y médica de establecimientos geriátricos. La cesión de ayudas económicas a personas necesitadas y la promoción y construcción de guarderías para hijos de personas necesitadas.- La Fundación también persigue fines culturales como son: el fomento y estudio sobre valores y necesidades morales, intelectuales y físicas de las personas, familia y sociedad, así como la concesión de becas de estudios para la formación e investigación.
019V;FUNDACIÓN MARÍA TORTOSA ALONSO;;;;;asesoria@icvallada.es;Calle de San Bartolomé, 2;;46;VALLADA;VALÈNCIA;46691;962257102;2 25 71 40;G46445201;1952/12/02 00:00:00.000;;;41;;;La creación y el sostenimiento de una escuela de niños y otra de niñas, así como una academia privada de enseñanza media en la localidad de Vallada.
020A;FUNDACIÓN COLEGIO ELISA TOMÁS YUSTI, FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;;;elitoyu@yahoo.es;Cno. del Faro, 31 (Cabo de las Huertas);;3;ALICANTE;ALICANTE;3540;965 26 30 21;96 526 30 21;G03067808;1978/06/19 00:00:00.000;;;41;;;La Fundación tiene por objeto la construcción, creación y funcionamiento de un centro de Educación Infantil y de Educación Primaria gratuita, sin perjuicio de lo dispuesto en el artículo 24 del Decreto 2930/72 de 21 de julio, en terrenos y edificios propiedad de la Fundación o alquilados por la misma a favor de los beneficiarios que carezcan de medios económicos suficientes para costearse tales estudios a título oneroso.
021C;FUNDACIÓN PARA LA CULMINACIÓN DE LAS OBRAS DE LA IGLESIA CONCATEDRAL DE SANTA MARÍA DE CASTELLÓN;;;;;josemanuel@gsgasesores.com;Calle de Gobernador, 8;;12;CASTELLÓN;CASTELLÓN;12003;627.449.760 964.20.18.26;;G-12238150;1991/05/13 00:00:00.000;;2021/07/20 00:00:00.000;30;;;La terminación de las obras y equipamientos de la Iglesia Concatedral de Santa María de Castellón, para la promoción de los valores religiosos, artísticos, históricos y turísticos dentro del conjunto arquitectónico en que se halla ubicada.
022C;FUNDACIÓ CAIXA CASTELLÓ FUNDACIÓ DE LA COMUNITAT VALENCIANA;SI;;;;gerencia@fundacioncajacastellon.es;Plaza de la Hierba, s/n 2ª Planta (Casa Abadía);Calle de Enmedio, 82 (Edificio Hucha) 12001 Castellón;12;CASTELLÓN;CASTELLÓN;12001;964 23 25 51;964 232 551 607 818 450;G-12302352;1991/12/19 00:00:00.000;;;30;;;(art. 8) La Fundación llevará a cabo y promoverá todo tipo de actividades de interés general y en particular las de investigación, enseñanza, cultura, medio ambiente, sanidad, asistencia social, así como cualesquiera otras que respondan a las necesidades sentidas por la sociedad.
022V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA MARQUÉS DE CAMPO;;FUNDACIÓN ASILO DE PÁRVULOS DEL EXCMO. MARQUÉS DE CAMPO;;;;Calle  Corona, 34;;46;VALÈNCIA;VALÈNCIA;46003;331 05 30;;;1995/01/05 00:00:00.000;;;11;;;a).- La educación y enseñanza en cualquiera de sus modalidades y en especial, la promoción, defensa y formación de la familia. b).- Colaborar con la protección y la reeducación del menor y la infancia en general. c).- Colaborar con los servicios sociales, generales y especializados de cualquier institución, sean de naturaleza pública, privada o sin ánimo de lucro. d) .- Llevar a cabo actividades culturales relacionadas con los anteriores fines.
023A;FUNDACIÓN CENTRO DE INVESTIGACIÓN Y ESTUDIOS DE ALICANTE;;;C.I.E.A.;;;Calle de Oscar Esplà, 37, planta 5;;3;ALICANTE;ALICANTE;3007;;;G-03133973;1984/05/22 00:00:00.000;;2013/08/12 00:00:00.000;15;;;(art. 2) La Fundación tiene por objeto promover y fomentar a través de la Universidad de Alicante, todo tipo de estudios e investigaciones, así como cualesquiera otras actividades de carácter científico y cultural de interés social. A tal efecto la Fundación mantendrá relaciones nacionales e internacionales. Fines (art. 3) Son fines de la Fundación: a) La creación, mantenimiento y desarrollo de actividades mediante: 1.- El Centro de Holografía, cuyas actividades serán Reglamentadas por el Rectorado de la Universidad. 2.- El Laboratorio de Diagnóstico para la Prevención de la Subnormalidad, adscrito al Departamento de Fisiología y Bioquímica de la Facultad de Medicina. 3.- El Laboratorio de Investigación sobre Carbones Activos, adscrito al Departamento de Química Inorgánica de la Facultad de Ciencias. b) Financiar la publicación de Tesinas o Memorias de Licenciaturas y tesis Doctorales, trabajos de investigación de cualquier otro tipo, así como ediciones de carácter periódico o circunstancial acerca de temas y cuestiones atinentes a los fines de la Fundación. c) Establecer otras ayudas a la investigación que puedan plantearse en el futuro, más específicamente, fijando para ello si se estimase conveniente premios para trabajos determinados. d) Cualesquiera otros fines no mencionados y que cooperen para la consecución del objeto fundacional
023C;FUNDACIÓN TOTS UNITS DE LA COMUNIDAD VALENCIANA;;;;;;Senda Pescadors, 62;;12;VILA-REAL;CASTELLÓN;12540;964 52 54 86;964-529002;G-12257200;1992/02/01 00:00:00.000;;;14;;;"(art. 2) La finalidad de la Fundación es la de realizar, principalmente dentro del ámbito territorial señalado en el artículo primero (Comunidad Valenciana), actividades dirigidas a la inserción social y laboral de personas en situación de dificultad social. A fin de alcanzar esta meta, los objetivos específicos de la Fundació Tots Units de la C.V. son los que a continuación se enumeran con carácter meramente indicativo y no limitativo: a) Elaborar y desarrollar proyectos para la inserción social y laboral de personal en dificultad social. b) Promover y gestionar actividades económicas que permitan la consecución del fin fundacional en los siguientes ámbitos: Formación para el empleo, gestión de residuos; gestión de objetos voluminosos y de segunda mano; restauración de muebles y otros objetos; agricultura; jardinería y viverismo; educación medioambiental; otras actividades medioambientales en general; investigación en los ámbitos de las actividades a desarrollar."
024C;FUNDACIÓN DÁVALOS FLETCHER;;;;fundación@davalos-fletcher.com;fundacion@davalos-fletcher.com;Calle de Gasset, 5;;12;CASTELLÓN;CASTELLÓN;12001;964 26 02 71;964 26 02 71;G12318655;1992/11/03 00:00:00.000;;;30;;;Promocionar la cultura sobre las artes de pintura, escultura, música, letras y ciencias, a juicio y en la forma que acuerden los patronos, con observancia de las normas jurídicas que rijan al respecto, previéndose como medios para alcanzar tal objetivo, entre otros, la posibilidad de conceder ayudas, becas, premios o incentivos en general a los beneficiarios que se hagan acreedores a los mismos, en los términos de los artículos 7º y 8º de los estatutos.
024V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ESCUELAS DEL AVE MARÍA DE PEÑARROCHA;;;;;dfsvm.mangel@planalfa.es;Avda. de Francia, nº 3;;46;VALÈNCIA;VALÈNCIA;46023;963154370, ext 1;337 00 00;G46262044;1956/04/21 00:00:00.000;;;41;;;"(art. 6) La Fundación tiene por objeto ""fundar y sostener un establecimiento donde reciban educación católica los niños de ambos sexos, pobres, de la partida de Peñarrocha"""
025A;FUNDACIÓN  FRAX DE LA COMUNITAT VALENCIANA;;FUNDACIÓN FRAX, PAZ, BONDAD Y VERDAD.                         2- FUNDACIÓN CULTURAL FRAX DE LA COMUNITAT VALENCIANA;;;direccion@fundacionfrax.org;;Paseo de las Estrellas, nº 3 -Apartado de correos 296 03581 L' Alfàs del Pi;3;E'ALBIR - L'ALFÀS DEL PI;ALICANTE;3581;686986606 Matías Pérez Such;;G-03122827;1981/02/26 00:00:00.000;;;30;;;Según el art. 5.1 de los estatutos la Fundación tiene por objeto el fomento de la Cultura, las Artes y las Ciencias en todas sus manifestaciones, y en particular en aquéllas que contribuyan a la promoción del Turismo como factor de impulso y mejora de la Economía y la Cultura de la Comunitat Valenciana.
025V;FUNDACIÓN PATRONATO DE LA JUVENTUD OBRERA DE LA COMUNIDAD VALENCIANA;;;;;fundacionpjo@fundacionpjo.es;Calle de Poeta Ricart Sanmartín, 3;;46;VALÈNCIA;VALÈNCIA;46020;96 339 15 50;;;1925/03/09 00:00:00.000;;;41;;;Según el art. 6 de los estatutos El desarrollo del objeto de la Fundación se efectuará a través de alguna de las siguientes formas de actuación. En los campos: a.) De la Fe, con la enseñanza de la Religión, en círculos de estudios, catequesis, actividades religiosas, grupo de jóvenes b.) De la cultura, a través de la Enseñanza Reglada del Colegio Sagrada Familia P.J.O., y actividades extraescolares como música (Coro Infantil, Orfeón Gregorio Gea), pintura, etc. c.) Deportivo y Recreativo, Escuela Deportiva, Instalaciones Deportivas (polideportivos, frontones), Club Social, Colonias para niños y jóvenes en verano en la Prunera (Serra), Grupo Scout Osyris, Asociación Juvenil Jóvenes del Patronato. Todo ello bajo el espíritu del Evangelio y según las directrices de la Iglesia Católica, desarrollando la actividad escolar y extraescolar, para facilitarles el acceso a una preparación adecuada en el campo familiar y laboral
026V;FUNDACIÓN CASA DE ENSEÑANZA DE NIÑAS FUNDACIÓN MAYORAL;;;;;;Pl. del Ayuntamiento, 1 (Ayuntamiento);;46;VALÈNCIA;VALÈNCIA;46002;96 352 54 78;;;1970/01/01 00:59:56.036;;;14;;;"De la renta fundacional de 17.575'90 ptas., se destinan 5858'63 ptas. para contribuir al sostenimiento del Asilo de la Marquesa de San Joaquín (becas de educación y alimentos pra doncellas pobres), otro tercio para dotes de niñas pobres que cursen las primeras letras o enseñanza media; y el resto al Municipio de Játiva, para que este, en forma de becas, de cuantía variable, lo dé para  manutención y gastos de estudios de enseñanza media o primaria entre niños pobres de la localidad."
027A;FUNDACIÓN PARA EL DESARROLLO DE LA FORMACIÓN Y GESTIÓN EMPRESARIAL FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;FUNDESEM;;;Calle de Deportistas Hnos. Torres, 4;;3;ALICANTE;ALICANTE;3016;96 526 68 00;96 516 54 11;G-03174018;1984/10/23 00:00:00.000;;;41;;;El fin de la Fundación es el desarrollo de la formación y gestión de quienes intervienen o colaboran en sectores empresariales. En consecuencia, se marcan los siguientes objetivos: 1.- Fomentar y proteger el desarrollo de la formación integral, técnica y científica, tanto del empresario, como de sus colaboradores y demás personas que, de algún modo, puedan resultar responsables de la gestión y dirección empresarial. 2.- Fomentar, promover y coordinar la investigación científica y técnica en el campo empresarial, así como publicar estudios y divulgar resultados y conclusiones de aplicación práctica. 3.- Defender y promover el espíritu de colaboración entre la sociedad y la empresa, estudiando los problemas e intereses comunes con criterios de eficacia y aportando sugerencias. 4.- Actuar como centro de información, coordinación y servicios para las empresas. 5.- Financiar cátedras, realizar e impartir seminarios y cursos de formación o perfeccionamiento relacionados con el mundo de la Empresa, así como promoverlos o cooperar al establecimiento de los mismos. 6.- Cualesquiera otros fines, servicios y actividades benéfico-docentes que la Fundación acuerde o decida y no se indiquen anteriormente, que contribuyan a la mejora o perfeccionamiento de la gestión y formación empresarial. Beneficiarios: (art. 8) Serán potenciales beneficiarios de la Fundación las personas físicas, jurídicas, asociaciones, fundaciones y todo tipo de colectividades relacionadas con actividades empresariales o docentes.
